name,url
Benešov,/wiki/Bene%C5%A1ov
Bernartice,/wiki/Bernartice_(okres_Bene%C5%A1ov)
Bílkovice,/wiki/B%C3%ADlkovice
Blažejovice,/wiki/Bla%C5%BEejovice
Borovnice,/wiki/Borovnice_(okres_Bene%C5%A1ov)
Bukovany,/wiki/Bukovany_(okres_Bene%C5%A1ov)
Bystřice,/wiki/Byst%C5%99ice_(okres_Bene%C5%A1ov)
Ctiboř,/wiki/Ctibo%C5%99_(okres_Bene%C5%A1ov)
Čakov,/wiki/%C4%8Cakov_(okres_Bene%C5%A1ov)
Čechtice,/wiki/%C4%8Cechtice
Čerčany,/wiki/%C4%8Cer%C4%8Dany
Červený Újezd,/wiki/%C4%8Cerven%C3%BD_%C3%9Ajezd_(okres_Bene%C5%A1ov)
Český Šternberk,/wiki/%C4%8Cesk%C3%BD_%C5%A0ternberk
Čtyřkoly,/wiki/%C4%8Cty%C5%99koly
Děkanovice,/wiki/D%C4%9Bkanovice
Divišov,/wiki/Divi%C5%A1ov
Dolní Kralovice,/wiki/Doln%C3%AD_Kralovice
Drahňovice,/wiki/Drah%C5%88ovice
Dunice,/wiki/Dunice
Heřmaničky,/wiki/He%C5%99mani%C4%8Dky
Hradiště,/wiki/Hradi%C5%A1t%C4%9B_(okres_Bene%C5%A1ov)
Hulice,/wiki/Hulice
Hvězdonice,/wiki/Hv%C4%9Bzdonice
Chářovice,/wiki/Ch%C3%A1%C5%99ovice
Chleby,/wiki/Chleby_(okres_Bene%C5%A1ov)
Chlístov,/wiki/Chl%C3%ADstov_(okres_Bene%C5%A1ov)
Chlum,/wiki/Chlum_(okres_Bene%C5%A1ov)
Chmelná,/wiki/Chmeln%C3%A1
Chocerady,/wiki/Chocerady
Choratice,/wiki/Choratice
Chotýšany,/wiki/Chot%C3%BD%C5%A1any
Chrášťany,/wiki/Chr%C3%A1%C5%A1%C5%A5any_(okres_Bene%C5%A1ov)
Jankov,/wiki/Jankov_(okres_Bene%C5%A1ov)
Javorník,/wiki/Javorn%C3%ADk_(okres_Bene%C5%A1ov)
Ješetice,/wiki/Je%C5%A1etice
Kamberk,/wiki/Kamberk
Keblov,/wiki/Keblov
Kladruby,/wiki/Kladruby_(okres_Bene%C5%A1ov)
Kondrac,/wiki/Kondrac
Kozmice,/wiki/Kozmice_(okres_Bene%C5%A1ov)
Krhanice,/wiki/Krhanice
Krňany,/wiki/Kr%C5%88any
Křečovice,/wiki/K%C5%99e%C4%8Dovice
Křivsoudov,/wiki/K%C5%99ivsoudov
Kuňovice,/wiki/Ku%C5%88ovice
Lešany,/wiki/Le%C5%A1any_(okres_Bene%C5%A1ov)
Libež,/wiki/Libe%C5%BE
Litichovice,/wiki/Litichovice
Loket,/wiki/Loket_(okres_Bene%C5%A1ov)
Louňovice pod Blaníkem,/wiki/Lou%C5%88ovice_pod_Blan%C3%ADkem
Lštění,/wiki/L%C5%A1t%C4%9Bn%C3%AD
Maršovice,/wiki/Mar%C5%A1ovice_(okres_Bene%C5%A1ov)
Mezno,/wiki/Mezno
Miličín,/wiki/Mili%C4%8D%C3%ADn
Miřetice,/wiki/Mi%C5%99etice_(okres_Bene%C5%A1ov)
Mnichovice,/wiki/Mnichovice_(okres_Bene%C5%A1ov)
Mrač,/wiki/Mra%C4%8D
Načeradec,/wiki/Na%C4%8Deradec
Nespeky,/wiki/Nespeky
Netvořice,/wiki/Netvo%C5%99ice
Neustupov,/wiki/Neustupov
Neveklov,/wiki/Neveklov
Olbramovice,/wiki/Olbramovice_(okres_Bene%C5%A1ov)
Ostrov,/wiki/Ostrov_(okres_Bene%C5%A1ov)
Ostředek,/wiki/Ost%C5%99edek
Pavlovice,/wiki/Pavlovice_(okres_Bene%C5%A1ov)
Petroupim,/wiki/Petroupim
Popovice,/wiki/Popovice_(okres_Bene%C5%A1ov)
Poříčí nad Sázavou,/wiki/Po%C5%99%C3%AD%C4%8D%C3%AD_nad_S%C3%A1zavou
Postupice,/wiki/Postupice
Pravonín,/wiki/Pravon%C3%ADn
Přestavlky u Čerčan,/wiki/P%C5%99estavlky_u_%C4%8Cer%C4%8Dan
Psáře,/wiki/Ps%C3%A1%C5%99e
Pyšely,/wiki/Py%C5%A1ely
Rabyně,/wiki/Rabyn%C4%9B
Radošovice,/wiki/Rado%C5%A1ovice_(okres_Bene%C5%A1ov)
Rataje,/wiki/Rataje_(okres_Bene%C5%A1ov)
Ratměřice,/wiki/Ratm%C4%9B%C5%99ice
Řehenice,/wiki/%C5%98ehenice
Řimovice,/wiki/%C5%98imovice
Sázava,/wiki/S%C3%A1zava_(okres_Bene%C5%A1ov)
Slověnice,/wiki/Slov%C4%9Bnice
Smilkov,/wiki/Smilkov
Snět,/wiki/Sn%C4%9Bt
Soběhrdy,/wiki/Sob%C4%9Bhrdy
Soutice,/wiki/Soutice
Stranný,/wiki/Strann%C3%BD
Strojetice,/wiki/Strojetice
Struhařov,/wiki/Struha%C5%99ov_(okres_Bene%C5%A1ov)
Střezimíř,/wiki/St%C5%99ezim%C3%AD%C5%99
Studený,/wiki/Studen%C3%BD
Šetějovice,/wiki/%C5%A0et%C4%9Bjovice
