nazev,kodobce,starosta,jmenostarosty,name1,name2,name3,surname,namewords,OKRES,COBVODU,POR_STR_HL,OSTRANA,PORCISLO,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,PSTRANA,NSTRANA,PLATNOST,POCHLASU,POCHL_PRES,POCPROCVSE,MANDAT,PORADIMAND,PORADINAHR,POHLAVI,DATNAR,multimatch,NAZEVZAST,VSTRANA,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR
Benešov,529303,Petr Hostek (ČSSD),Petr Hostek,Petr,NA,Hostek,Hostek,2,2101,1,1,7,1,Ing.,MBA,51,ředitel nemocnice Benešov,Benešov,7,7,0,1420,1420,5.69,1,1,0,NA,NA,FALSE,Benešov,7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,24932,18.84,6
Bernartice (okres Benešov),532568,Jiří Bělský,Jiří Bělský,Jiří,NA,Bělský,Bělský,2,2101,1,7,802,1,NA,NA,51,starosta obce,Bernartice,99,80,0,116,0,100,1,1,0,NA,NA,FALSE,Bernartice,80,"Jiří Bělský, nezávislý kandidát","Jiří Bělský, NK",NK,1,080,116,88.93,1
Bílkovice,530743,Milan Záruba,Milan Záruba,Milan,NA,Záruba,Záruba,2,2101,1,2,902,4,Mgr.,NA,33,obch. zástupce,Bílkovice,99,80,0,81,81,23.41,1,1,0,NA,NA,FALSE,Bílkovice,90,Nezávislí - Hasiči,Nezávislí - Hasiči,SNK,1,080,346,52.49,3
Blažejovice,532380,Karel Říha,Karel Říha,Karel,NA,Říha,Říha,2,2101,1,2,901,1,NA,NA,60,soukromý podnikatel,Blažejovice,99,80,0,37,0,13.35,1,5,0,NA,NA,FALSE,Blažejovice,90,Pro obec Blažejovice,Pro obec Blažejovice,SNK,1,080,277,89.93,7
Borovnice (okres Benešov),532096,Mgr. Josef Růžek,Josef Růžek,Josef,NA,Růžek,Růžek,2,2101,1,1,901,7,Mgr.,NA,60,učitel,Borovnice,99,80,0,32,0,13.91,1,7,0,NA,NA,FALSE,Borovnice,90,"""PRO BOROVNICI SPOLEČNĚ""","""PRO BOROVNICI SPOLEČNĚ""",SNK,1,080,230,100,7
Bukovany (okres Benešov),532924,Miroslav Šiška,Miroslav Šiška,Miroslav,NA,Šiška,Šiška,2,2101,1,1,166,1,NA,NA,56,OSVČ,Bukovany,166,166,0,268,0,9.57,1,3,0,NA,NA,FALSE,Bukovany,166,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN,1,166,2800,69.59,8
Bystřice (okres Benešov),529451,Mgr. Daniel Štěpánek,Daniel Štěpánek,Daniel,NA,Štěpánek,Štěpánek,2,2101,1,4,53,1,Mgr.,NA,38,starosta města,Nesvačily,53,53,0,629,629,12.16,1,1,0,NA,NA,FALSE,Bystřice,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,5171,21.2,4
Ctiboř (okres Benešov),532690,Jindřiška Srbová,Jindřiška Srbová,Jindřiška,NA,Srbová,Srbová,2,2101,1,6,806,1,NA,NA,41,dělnice,Ctiboř,99,80,0,50,0,100,1,1,0,NA,NA,FALSE,Ctiboř,80,"Jindřiška Srbová, nezávislý kandidát","Jindřiška Srbová, NK",NK,1,080,50,94.08,1
Čakov (okres Benešov),529478,Martin Schovánek,Martin Schovánek,Martin,NA,Schovánek,Schovánek,2,2101,1,7,803,1,Mgr.,NA,35,státní zaměstnanec,Vlkov,99,80,0,62,0,100,1,1,0,NA,NA,FALSE,Čakov,80,"Mgr. Martin SCHOVÁNEK, nezávislý kandidát","Mgr. Martin SCHOVÁNEK, NK",NK,1,080,62,90.79,1
Čechtice,529486,František Nebřenský,František Nebřenský,František,NA,Nebřenský,Nebřenský,2,2101,1,1,1,1,NA,NA,58,starosta,Čechtice,1,1,0,412,0,7.21,1,4,0,NA,NA,FALSE,Čechtice,1,Křesťanská a demokratická unie - Československá strana lidová,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL,1,001,5708,84.13,13
Čerčany,529516,Martin Richter,Martin Richter,Martin,NA,Richter,Richter,2,2101,1,1,112,1,Mgr.,NA,42,vedoucí STK,Čerčany,99,112,0,351,0,7.06,1,4,0,NA,NA,FALSE,Čerčany,112,HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST,HN.NEZ.ZA HARM.ROZ.OBCÍ A MĚST,HNHRM,1,112,4971,37.08,6
Červený Újezd (okres Benešov),529532,Miroslav Dohnal,Miroslav Dohnal,Miroslav,NA,Dohnal,Dohnal,2,2101,1,10,814,1,NA,NA,39,OSVČ,Styrov,99,80,0,159,0,100,1,1,0,NA,NA,FALSE,Červený Újezd,80,"Miroslav Dohnal, nezávislý kandidát","Miroslav Dohnal, NK",NK,1,080,159,96.19,1
Český Šternberk,529541,Iveta Bártová,Iveta Bártová,Iveta,NA,Bártová,Bártová,2,2101,1,2,901,1,NA,NA,37,OSVČ,Český Šternberk,99,80,0,47,47,15.3,1,3,0,NA,NA,FALSE,Český Šternberk,90,Nezávislí,Nezávislí,SNK,1,080,307,61.89,5
Čtyřkoly,529567,Štěpán Benca,Štěpán Benca,Štěpán,NA,Benca,Benca,2,2101,1,1,901,1,NA,NA,66,podnikatel,Čtyřkoly,99,80,0,213,213,14.62,1,1,0,NA,NA,FALSE,Čtyřkoly,90,Sdružení nezávislých kandidátů,Sdružení nezávislých kandidátů,SNK,1,080,1456,100,7
Děkanovice,532746,Eva Získalová,Eva Získalová,Eva,NA,Získalová,Získalová,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Divišov,529621,Zdeněk Pekárek,Zdeněk Pekárek,Zdeněk,NA,Pekárek,Pekárek,2,2101,1,4,901,2,Mgr.,NA,28,"politolog, st.zaměstnanec",Divišov,99,80,0,545,545,11.16,1,1,0,NA,NA,FALSE,Divišov,90,Sdružení nezávislých kandidátů Divišova a okolí,SNK Divišova a okolí,SNK,1,080,4880,49.46,8
Dolní Kralovice,529648,Antonín Bašta,Antonín Bašta,Antonín,NA,Bašta,Bašta,2,2101,1,1,47,1,NA,NA,65,starosta,Dolní Kralovice,47,47,0,346,346,17.75,1,1,0,NA,NA,FALSE,Dolní Kralovice,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,1949,33.39,5
Drahňovice,532151,František Košata,František Košata,František,NA,Košata,Košata,2,2101,1,4,803,1,NA,NA,63,důchodce,Drahňovice,99,80,0,29,0,100,1,1,0,NA,NA,FALSE,Drahňovice,80,"František Košata, nezávislý kandidát","František Košata, NK",NK,1,080,29,56.42,1
Dunice,532843,František Vopěnka,František Vopěnka,František,NA,Vopěnka,Vopěnka,2,2101,1,4,801,1,NA,NA,49,řidič,Dunice,99,80,0,33,0,100,1,1,0,NA,NA,FALSE,Dunice,80,"František Vopěnka, nezávislý kandidát","František Vopěnka, NK",NK,1,080,33,97.88,1
Heřmaničky,529702,Jarmila Trachtová,Jarmila Trachtová,Jarmila,NA,Trachtová,Trachtová,2,2101,1,3,903,1,NA,NA,46,administrátor,Arnoštovice,99,80,0,192,0,11.83,1,2,0,NA,NA,FALSE,Heřmaničky,90,Sdružení nezávislých kandidátů,Sdružení nezávislých kandidátů,SNK,1,080,1622,51.82,6
Hradiště (okres Benešov),532932,Radek Brabenec,Radek Brabenec,Radek,NA,Brabenec,Brabenec,2,2101,1,1,901,2,NA,NA,35,"řidič, strojník",Hradiště,99,80,0,12,0,15.18,1,3,0,NA,NA,FALSE,Hradiště,90,"""Sdružení nezávislých kandidátů Za lepší budoucnost""","SNK ""Za lepší budoucnost""",SNK,1,080,79,100,7
Hulice,529737,Martin Kapek,Martin Kapek,Martin,NA,Kapek,Kapek,2,2101,1,1,901,1,NA,NA,38,starosta obce,Hulice,99,80,0,141,141,15.35,1,1,0,NA,NA,FALSE,Hulice,90,Sdružení nezávislých kandidátů,Sdružení nezávislých kandidátů,SNK,1,080,918,100,7
Hvězdonice,529745,Jan Volf,Jan Volf,Jan,NA,Volf,Volf,2,2101,1,2,902,6,NA,NA,66,důchodce,Hvězdonice,99,80,0,54,54,16.92,1,2,0,NA,NA,FALSE,Hvězdonice,90,Šance 2014,Šance 2014,SNK,1,080,319,25.89,2
Chářovice,532886,Ladislav Kalaš,Ladislav Kalaš,Ladislav,NA,Kalaš,Kalaš,2,2101,1,2,801,1,NA,NA,54,OSVČ,Chářovice,99,80,0,62,0,100,1,1,0,NA,NA,FALSE,Chářovice,80,"Ladislav Kalaš, nezávislý kandidát","Ladislav Kalaš, NK",NK,1,080,62,115.73,1
Chleby (okres Benešov),532878,Petr Charbuský,Petr Charbuský,Petr,NA,Charbuský,Charbuský,2,2101,1,7,806,1,NA,NA,52,OSVČ,Chleby,99,80,0,30,0,100,1,1,0,NA,NA,FALSE,Chleby,80,"Petr Charbuský, nezávislý kandidát","Petr Charbuský, NK",NK,1,080,30,90.36,1
Chlístov (okres Benešov),532045,Bohumil Rataj,Bohumil Rataj,Bohumil,NA,Rataj,Rataj,2,2101,1,1,901,1,NA,NA,38,jednatel,Racek,99,80,0,85,85,16.12,1,1,0,NA,NA,FALSE,Chlístov,90,NEZÁVISLÍ,NEZÁVISLÍ,SNK,1,080,527,100,7
Chlum (okres Benešov),529770,Ing. Miroslav Balík Ph.D.,Miroslav Balík,Miroslav,NA,Balík,Balík,2,2101,1,1,901,1,Ing.,PhD.,41,odborný asistent,Chlum,99,80,0,72,72,12.92,1,3,0,NA,NA,FALSE,Chlum,90,ZA CHLUM KRÁSNĚJŠÍ,ZA CHLUM KRÁSNĚJŠÍ,SNK,1,080,557,100,7
Chmelná,529788,Tomáš Martínek,Tomáš Martínek,Tomáš,NA,Martínek,Martínek,2,2101,1,6,803,1,NA,NA,43,OSVČ,Chmelná,99,80,0,63,0,100,1,1,0,NA,NA,FALSE,Chmelná,80,"Tomáš Martínek, nezávislý kandidát","Tomáš Martínek, NK",NK,1,080,63,118.54,1
Chocerady,529796,Eva Bubnová,Eva Bubnová,Eva,NA,Bubnová,Bubnová,2,2101,1,2,901,1,NA,NA,58,starostka,Chocerady,99,80,0,458,458,10.97,1,1,0,NA,NA,FALSE,Chocerady,90,SNK - NAŠE OBEC,SNK - NAŠE OBEC,SNK,1,080,4174,78.78,9
Choratice,532606,Marie Bečková,Marie Bečková,Marie,NA,Bečková,Bečková,2,2101,1,1,805,1,NA,NA,44,obchodní zástupce,Choratice,99,80,0,41,0,100,1,1,0,NA,NA,FALSE,Choratice,80,Marie Bečková,"Marie Bečková, NK",NK,1,080,41,101.48,1
Chotýšany,529818,Bohuslav Kovář,Bohuslav Kovář,Bohuslav,NA,Kovář,Kovář,2,2101,1,1,793,1,NA,NA,39,osoba samostatně výdělečně činná,Chotýšany,99,793,0,96,0,9.5,1,6,0,NA,NA,FALSE,Chotýšany,793,Nový směr,Nový směr,NOS,1,793,1010,87.06,7
Chrášťany (okres Benešov),532037,Ing. Pavel Hruška,Pavel Hruška,Pavel,NA,Hruška,Hruška,2,2101,1,1,901,1,Ing.,NA,60,zeměměřič,Chrášťany,99,80,0,89,89,12.95,1,2,0,NA,NA,FALSE,Chrášťany,90,Sdružení nezávislých kandidátů,Sdružení nezávislých kandidátů,SNK,1,080,687,100,7
Jankov (okres Benešov),529842,Bc. Jitka Jonsztová,Jitka Jonsztová,Jitka,NA,Jonsztová,Jonsztová,2,2101,1,4,721,1,Bc.,NA,49,ekonomka,Jankov,721,721,0,244,244,14.77,1,1,0,NA,NA,FALSE,Jankov,721,TOP 09,TOP 09,TOP 09,1,721,1651,33.21,5
Javorník (okres Benešov),529851,Jiří Čihák,Jiří Čihák,Jiří,NA,Čihák,Čihák,2,2101,1,3,802,1,NA,NA,45,dopravní mistr,Javorník,99,80,0,61,0,100,1,1,0,NA,NA,FALSE,Javorník,80,"Jiří Čihák, nezávislý kandidát","Jiří Čihák, NK",NK,1,080,61,110.62,1
Ješetice,532134,Lenka Sladkovská,Lenka Sladkovská,Lenka,NA,Sladkovská,Sladkovská,2,2101,1,7,803,1,NA,NA,31,účetní,Báňov,99,80,0,60,0,100,1,1,0,NA,NA,FALSE,Ješetice,80,"Lenka Sladkovská, nezávislý kandidát","Lenka Sladkovská, NK",NK,1,080,60,106.06,1
Kamberk,531031,Ing. Alena Jenšíková,Alena Jenšíková,Alena,NA,Jenšíková,Jenšíková,2,2101,1,2,803,1,NA,NA,70,důchodce,Kamberk,99,80,0,66,0,100,1,1,0,NA,NA,FALSE,Kamberk,80,"Alena Jenšíková, nezávislý kandidát","Alena Jenšíková, NK",NK,1,080,66,84.15,1
Keblov,529907,Rostislav Baran,Rostislav Baran,Rostislav,NA,Baran,Baran,2,2101,1,1,901,1,Mgr.,NA,52,učitel,Keblov,99,80,0,61,0,19.67,1,2,0,NA,NA,FALSE,Keblov,90,Sdružení nezávislých kandidátů HASIČI PRO KEBLOV,SNK HASIČI PRO KEBLOV,SNK,1,080,310,49.05,2
Kladruby (okres Benešov),533084,Anežka Srbová,Anežka Srbová,Anežka,NA,Srbová,Srbová,2,2101,1,1,804,1,NA,NA,69,ekonomka,Kladruby,1,80,0,120,0,100,1,1,0,NA,NA,FALSE,Kladruby,80,"Anežka Srbová, nezávislý kandidát","Anežka Srbová, NK",NK,1,080,120,96.42,1
Kondrac,529931,Miroslav Matuška,Miroslav Matuška,Miroslav,NA,Matuška,Matuška,2,2101,1,1,901,1,NA,NA,56,starosta,Krasovice,99,80,0,232,232,18.95,1,1,0,NA,NA,FALSE,Kondrac,90,Za společenský rozvoj,Za společenský rozvoj,SNK,1,080,1224,53.33,5
Kozmice (okres Benešov),529940,Helena Matoušková,Helena Matoušková,Helena,NA,Matoušková,Matoušková,2,2101,1,3,53,4,NA,NA,43,pracovnice v sociálních službách,Kozmice,99,53,0,119,119,19.5,1,1,0,NA,NA,FALSE,Kozmice,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,610,75.21,6
Krhanice,529958,Mgr. Aleš Papoušek,Aleš Papoušek,Aleš,NA,Papoušek,Papoušek,2,2101,1,1,901,1,Mgr.,NA,44,starosta,Krhanice,99,80,0,317,317,13.05,1,1,0,NA,NA,FALSE,Krhanice,90,Občané Krhanic a Prosečnice,Občané Krhanic a Prosečnice,SNK,1,080,2428,100,9
Krňany,529974,Josef Hušbauer,Josef Hušbauer,Josef,NA,Hušbauer,Hušbauer,2,2101,1,1,901,1,NA,NA,67,důchodce,Krňany,99,80,0,153,153,14.95,1,1,0,NA,NA,FALSE,Krňany,90,Sdružení nezávislých kandidátů - KRŇANY,SNK - KRŇANY,SNK,1,080,1023,92.49,7
Křečovice,529991,Robert Nečas,Robert Nečas,Robert,NA,Nečas,Nečas,2,2101,1,1,902,1,NA,NA,49,starosta obce,Křečovice,99,80,0,349,349,16.9,1,1,0,NA,NA,FALSE,Křečovice,90,Sdružení nezávislých kandidátů II.,Sdruž. nezávisl.kandidátů II.,SNK,1,080,2065,48.74,6
Křivsoudov,530000,Jan Červený,Jan Červený,Jan,NA,Červený,Červený,2,2101,1,1,1,1,NA,NA,34,úředník,Křivsoudov,99,1,0,83,83,12.61,1,3,0,NA,NA,FALSE,Křivsoudov,1,Křesťanská a demokratická unie - Československá strana lidová,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL,1,001,658,100,9
Kuňovice,530026,Karel Růžek,Karel Růžek,Karel,NA,Růžek,Růžek,2,2101,1,1,901,1,NA,NA,47,mechanizátor,Kuňovice,99,80,0,41,41,13.53,1,3,0,NA,NA,FALSE,Kuňovice,90,Sdružení nezávislých kandidátů - Kuňovice,SNK - Kuňovice,SNK,1,080,303,100,7
Lešany (okres Benešov),530051,František Vrkoslav,František Vrkoslav,František,NA,Vrkoslav,Vrkoslav,2,2101,1,2,901,3,NA,NA,54,starosta,Lešany,99,80,0,180,180,11.17,1,1,0,NA,NA,FALSE,Lešany,90,Sdružení nezávislých kandidátů I,SNK I,SNK,1,080,1611,41.24,6
Libež,530069,Miloslav Kněžík,Miloslav Kněžík,Miloslav,NA,Kněžík,Kněžík,2,2101,1,1,7,1,NA,NA,54,úředník TS Vlašim,Libež,99,7,0,70,70,18.22,1,1,0,NA,NA,FALSE,Libež,7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,384,79.75,6
Litichovice,532258,Pavel Kejklíček,Pavel Kejklíček,Pavel,NA,Kejklíček,Kejklíček,2,2101,1,2,902,1,Ing.,NA,66,důchodce,Litichovice,99,80,0,29,0,16.57,1,4,0,NA,NA,FALSE,Litichovice,90,Nezávislí 2,Nezávislí 2,SNK,1,080,175,73.94,4
Loket (okres Benešov),530093,Vladimír Vacek,Vladimír Vacek,Vladimír,NA,Vacek,Vacek,2,2101,1,3,801,1,NA,NA,59,starosta,Radíkovice,99,80,0,274,0,100,1,1,0,NA,NA,FALSE,Loket,80,"Vladimír Vacek, nezávislý kandidát","Vladimír Vacek, NK",NK,1,080,274,145.46,1
Louňovice pod Blaníkem,530107,Ing. Růžena Kučerová,Růžena Kučerová,Růžena,NA,Kučerová,Kučerová,2,2101,1,1,901,1,Ing.,NA,57,starostka Louňovic pod Blaníkem,Louňovice pod Blaníkem,99,80,0,103,0,7.12,1,2,0,NA,NA,FALSE,Louňovice pod Blaníkem,90,ROZVOJ LOUŇOVIC,ROZVOJ LOUŇOVIC,SNK,1,080,1445,100,15
Lštění,532193,Miroslav Klenovec,Miroslav Klenovec,Miroslav,NA,Klenovec,Klenovec,2,2101,1,1,53,4,Mgr.,NA,65,učitel,Lštění,99,53,0,123,123,14.83,1,1,0,NA,NA,FALSE,Lštění,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,829,100,7
Maršovice (okres Benešov),530115,Mgr. Bohumil Ježek,Bohumil Ježek,Bohumil,NA,Ježek,Ježek,2,2101,1,1,902,1,Mgr.,NA,47,starosta,Maršovice,99,80,0,291,291,17.76,1,1,0,NA,NA,FALSE,Maršovice,90,SPOLU,SPOLU,SNK,1,080,1638,43.39,5
