nazev,kodobcelau,kodobce,kraj,okres,starosta
Benešov,CZ0201,529303,Středočeský (CZ020),Benešov (CZ0201),Petr Hostek (ČSSD)
Bernartice (okres Benešov),CZ0201,532568,Středočeský (CZ020),Benešov (CZ0201),Jiří Bělský
Bílkovice,CZ0201,530743,Středočeský (CZ020),Benešov (CZ0201),Milan Záruba
Blažejovice,CZ0201,532380,Středočeský (CZ020),Benešov (CZ0201),Karel Říha
Borovnice (okres Benešov),CZ0201,532096,Středočeský (CZ020),Benešov (CZ0201),Mgr. Josef Růžek
Bukovany (okres Benešov),CZ0201,532924,Středočeský (CZ020),Benešov (CZ0201),Miroslav Šiška
Bystřice (okres Benešov),CZ0201,529451,Středočeský kraj (CZ020),Benešov (CZ0201),Mgr. Daniel Štěpánek
Ctiboř (okres Benešov),CZ0201,532690,Středočeský (CZ020),Benešov (CZ0201),Jindřiška Srbová
Čakov (okres Benešov),CZ0201,529478,Středočeský (CZ020),Benešov (CZ0201),Martin Schovánek
Čechtice,CZ0201,529486,Středočeský (CZ020),Benešov (CZ0201),František Nebřenský
Čerčany,CZ0201,529516,Středočeský (CZ020),Benešov (CZ0201),Martin Richter
Červený Újezd (okres Benešov),CZ0201,529532,Středočeský (CZ020),Benešov (CZ0201),Miroslav Dohnal
Český Šternberk,CZ0201,529541,Středočeský (CZ020),Benešov (CZ0201),Iveta Bártová
Čtyřkoly,CZ0201,529567,Středočeský (CZ020),Benešov (CZ0201),Štěpán Benca
Děkanovice,CZ0201,532746,Středočeský (CZ020),Benešov (CZ0201),Eva Získalová
Divišov,CZ0201,529621,Středočeský (CZ020),Benešov (CZ0201),Zdeněk Pekárek
Dolní Kralovice,CZ0201,529648,Středočeský (CZ020),Benešov (CZ0201),Antonín Bašta
Drahňovice,CZ0201,532151,Středočeský (CZ020),Benešov (CZ0201),František Košata
Dunice,CZ0201,532843,Středočeský (CZ020),Benešov (CZ0201),František Vopěnka
Heřmaničky,CZ0201,529702,Středočeský (CZ020),Benešov (CZ0201),Jarmila Trachtová
Hradiště (okres Benešov),CZ0201,532932,Středočeský (CZ020),Benešov (CZ0201),Radek Brabenec
Hulice,CZ0201,529737,Středočeský (CZ020),Benešov (CZ0201),Martin Kapek
Hvězdonice,CZ0201,529745,Středočeský (CZ020),Benešov (CZ0201),Jan Volf
Chářovice,CZ0201,532886,Středočeský (CZ020),Benešov (CZ0201),Ladislav Kalaš
Chleby (okres Benešov),CZ0201,532878,Středočeský (CZ020),Benešov (CZ0201),Petr Charbuský
Chlístov (okres Benešov),CZ0201,532045,Středočeský (CZ020),Benešov (CZ0201),Bohumil Rataj
Chlum (okres Benešov),CZ0201,529770,Středočeský (CZ020),Benešov (CZ0201),Ing. Miroslav Balík Ph.D.
Chmelná,CZ0201,529788,Středočeský (CZ020),Benešov (CZ0201),Tomáš Martínek
Chocerady,CZ0201,529796,Středočeský (CZ020),Benešov (CZ0201),Eva Bubnová
Choratice,CZ0201,532606,Středočeský (CZ020),Benešov (CZ0201),Marie Bečková
Chotýšany,CZ0201,529818,Středočeský (CZ020),Benešov (CZ0201),Bohuslav Kovář
Chrášťany (okres Benešov),CZ0201,532037,Středočeský (CZ020),Benešov (CZ0201),Ing. Pavel Hruška
Jankov (okres Benešov),CZ0201,529842,Středočeský (CZ020),Benešov (CZ0201),Bc. Jitka Jonsztová
Javorník (okres Benešov),CZ0201,529851,Středočeský (CZ020),Benešov (CZ0201),Jiří Čihák
Ješetice,CZ0201,532134,Středočeský (CZ020),Benešov (CZ0201),Lenka Sladkovská
Kamberk,CZ0201,531031,Středočeský (CZ020),Benešov (CZ0201),Ing. Alena Jenšíková
Keblov,CZ0201,529907,Středočeský (CZ020),Benešov (CZ0201),Rostislav Baran
Kladruby (okres Benešov),CZ0201,533084,Středočeský (CZ020),Benešov (CZ0201),Anežka Srbová
Kondrac,CZ0201,529931,Středočeský (CZ020),Benešov (CZ0201),Miroslav Matuška
Kozmice (okres Benešov),CZ0201,529940,Středočeský (CZ020),Benešov (CZ0201),Helena Matoušková
Krhanice,CZ0201,529958,Středočeský (CZ020),Benešov (CZ0201),Mgr. Aleš Papoušek
Krňany,CZ0201,529974,Středočeský (CZ020),Benešov (CZ0201),Josef Hušbauer
Křečovice,CZ0201,529991,Středočeský (CZ020),Benešov (CZ0201),Robert Nečas
Křivsoudov,CZ0201,530000,Středočeský (CZ020),Benešov (CZ0201),Jan Červený
Kuňovice,CZ0201,530026,Středočeský (CZ020),Benešov (CZ0201),Karel Růžek
Lešany (okres Benešov),CZ0201,530051,Středočeský (CZ020),Benešov (CZ0201),František Vrkoslav
Libež,CZ0201,530069,Středočeský (CZ020),Benešov (CZ0201),Miloslav Kněžík
Litichovice,CZ0201,532258,Středočeský (CZ020),Benešov (CZ0201),Pavel Kejklíček
Loket (okres Benešov),CZ0201,530093,Středočeský (CZ020),Benešov (CZ0201),Vladimír Vacek
Louňovice pod Blaníkem,CZ0201,530107,Středočeský (CZ020),Benešov (CZ0201),Ing. Růžena Kučerová
Lštění,CZ0201,532193,Středočeský (CZ020),Benešov (CZ0201),Miroslav Klenovec
Maršovice (okres Benešov),CZ0201,530115,Středočeský (CZ020),Benešov (CZ0201),Mgr. Bohumil Ježek
Mezno,CZ0201,530158,Středočeský (CZ020),Benešov (CZ0201),Rudolf Votruba
Miličín,CZ0201,530166,Středočeský (CZ020),Benešov (CZ0201),Jiří Zíka
Miřetice (okres Benešov),CZ0201,530174,Středočeský (CZ020),Benešov (CZ0201),Jiří Málek
Mnichovice (okres Benešov),CZ0201,530191,Středočeský (CZ020),Benešov (CZ0201),Jarmila Turková
Mrač,CZ0201,530204,Středočeský (CZ020),Benešov (CZ0201),František Zvolský
Načeradec,CZ0201,530212,Středočeský (CZ020),Benešov (CZ0201),Miroslav Vondrák
Nespeky,CZ0201,530263,Středočeský (CZ020),Benešov (CZ0201),Mgr. Michal Tyrner
Netvořice,CZ0201,530298,Středočeský (CZ020),Benešov (CZ0201),Monika Šlehobrová
Neustupov,CZ0201,530301,Středočeský (CZ020),Benešov (CZ0201),Josef Škréta
Neveklov,CZ0201,530310,Středočeský (CZ020),Benešov (CZ0201),Ing. Jan Slabý
Olbramovice (okres Benešov),CZ0201,530344,Středočeský (CZ020),Benešov (CZ0201),Ivan Novák
Ostrov (okres Benešov),CZ0201,599395,Středočeský (CZ020),Benešov (CZ0201),Pavel Kronus
Ostředek,CZ0201,530352,Středočeský (CZ020),Benešov (CZ0201),Marek Škvor
Pavlovice (okres Benešov),CZ0201,533076,Středočeský (CZ020),Benešov (CZ0201),Ing. Jan Dufala
Petroupim,CZ0201,530409,Středočeský (CZ020),Benešov (CZ0201),Jiří Černý
Popovice (okres Benešov),CZ0201,532649,Středočeský (CZ020),Benešov (CZ0201),František Páv
Poříčí nad Sázavou,CZ0201,530441,Středočeský (CZ020),Benešov (CZ0201),Mgr. Jan Kratzer
Postupice,CZ0201,530450,Středočeský (CZ020),Benešov (CZ0201),Miloslav Půta
Pravonín,CZ0201,530476,Středočeský (CZ020),Benešov (CZ0201),Jana Lapáčková
Přestavlky u Čerčan,CZ0201,530492,Středočeský (CZ020),Benešov (CZ0201),Ladislav Bursík
Psáře,CZ0201,530514,Středočeský (CZ020),Benešov (CZ0201),Petra Kadlečková
